COMMON,LIGHT,PRICE
Bloodroot,Mostly Shady,$2.44
Columbine,Mostly Shady,$9.37
Marsh Marigold,Mostly Sunny,$6.81
Cowslip,Mostly Shady,$9.90
Dutchman's-Breeches,Mostly Shady,$6.44
"Ginger, Wild",Mostly Shady,$9.03
Hepatica,Mostly Shady,$4.45
Liverleaf,Mostly Shady,$3.99
Jack-In-The-Pulpit,Mostly Shady,$3.23
Mayapple,Mostly Shady,$2.98
"Phlox, Woodland",Sun or Shade,$2.80
"Phlox, Blue",Sun or Shade,$5.59
Spring-Beauty,Mostly Shady,$6.59
Trillium,Sun or Shade,$3.90
Wake Robin,Sun or Shade,$3.20
"Violet, Dog-Tooth",Shade,$9.04
Trout Lily,Shade,$6.94
Adder's-Tongue,Shade,$9.58
Anemone,Mostly Shady,$8.86
Grecian Windflower,Mostly Shady,$9.16
Bee Balm,Shade,$4.59
Bergamot,Shade,$7.16
Black-Eyed Susan,Sunny,$9.80
Buttercup,Shade,$2.57
Crowfoot,Shade,$9.34
Butterfly Weed,Sunny,$2.78
Cinquefoil,Shade,$7.06
Primrose,Sunny,$6.56
Gentian,Sun or Shade,$7.81
Blue Gentian,Sun or Shade,$8.56
Jacob's Ladder,Shade,$9.26
Greek Valerian,Shade,$4.36
California Poppy,Sun,$7.89
Shooting Star,Mostly Shady,$8.60
Snakeroot,Shade,$5.63
Cardinal Flower,Shade,$3.02
